,Bundle_Product_1,Bundle_Product_2,Support,Confidence,Lift,Bundle_Quality
0,Organic Raspberries,Organic Strawberries,0.0104,0.253,3.13,Premium Bundle
1,Organic Fuji Apple,Banana,0.0112,0.4013,2.66,High-Potential Bundle
2,Organic Raspberries,Bag of Organic Bananas,0.0122,0.2977,2.57,High-Potential Bundle
3,Organic Hass Avocado,Bag of Organic Bananas,0.0184,0.2868,2.48,High-Potential Bundle
4,Cucumber Kirby,Banana,0.0105,0.3437,2.28,High-Potential Bundle
5,Organic Avocado,Banana,0.0167,0.3033,2.01,High-Potential Bundle
6,Strawberries,Banana,0.0136,0.3023,2.0,High-Potential Bundle
7,Organic Strawberries,Bag of Organic Bananas,0.0184,0.2269,1.96,Standard Bundle
8,Organic Baby Spinach,Bag of Organic Bananas,0.0154,0.2063,1.78,Standard Bundle
9,Large Lemon,Banana,0.0132,0.2681,1.77,Standard Bundle
10,Organic Whole Milk,Banana,0.0105,0.2378,1.57,Standard Bundle
11,Limes,Banana,0.0105,0.2352,1.56,Standard Bundle
12,Organic Baby Spinach,Banana,0.0162,0.2171,1.44,Low-Priority Bundle
13,Organic Strawberries,Banana,0.017,0.2102,1.39,Low-Priority Bundle
