,Product_1,Product_2,Support,Confidence,Lift,Product_Pair_Affinity_Score,Affinity_Level
0,Organic Fuji Apple,Banana,0.0112,0.4013,2.66,0.6849,High
1,Organic Hass Avocado,Bag of Organic Bananas,0.0184,0.2868,2.48,0.6374,High
2,Organic Raspberries,Organic Strawberries,0.0104,0.253,3.13,0.5718,Moderate
3,Organic Raspberries,Bag of Organic Bananas,0.0122,0.2977,2.57,0.5264,Moderate
4,Organic Avocado,Banana,0.0167,0.3033,2.01,0.4845,Moderate
5,Cucumber Kirby,Banana,0.0105,0.3437,2.28,0.4689,Moderate
6,Strawberries,Banana,0.0136,0.3023,2.0,0.4035,Moderate
7,Organic Strawberries,Bag of Organic Bananas,0.0184,0.2269,1.96,0.396,Low
8,Large Lemon,Banana,0.0132,0.2681,1.77,0.2755,Low
9,Organic Baby Spinach,Bag of Organic Bananas,0.0154,0.2063,1.78,0.2378,Low
10,Organic Baby Spinach,Banana,0.0162,0.2171,1.44,0.1748,Low
11,Organic Strawberries,Banana,0.017,0.2102,1.39,0.171,Low
12,Organic Whole Milk,Banana,0.0105,0.2378,1.57,0.1037,Low
13,Limes,Banana,0.0105,0.2352,1.56,0.0946,Low
