,Primary_Product,Nearby_Product,Support,Confidence,Lift,Placement_Recommendation
0,Organic Raspberries,Organic Strawberries,0.0104,0.253,3.13,Adjacent Shelf
1,Organic Fuji Apple,Banana,0.0112,0.4013,2.66,Same Display
2,Organic Raspberries,Bag of Organic Bananas,0.0122,0.2977,2.57,Same Display
3,Organic Hass Avocado,Bag of Organic Bananas,0.0184,0.2868,2.48,Same Display
4,Cucumber Kirby,Banana,0.0105,0.3437,2.28,Same Display
5,Organic Avocado,Banana,0.0167,0.3033,2.01,Same Display
6,Strawberries,Banana,0.0136,0.3023,2.0,Same Display
7,Organic Strawberries,Bag of Organic Bananas,0.0184,0.2269,1.96,Same Aisle
8,Organic Baby Spinach,Bag of Organic Bananas,0.0154,0.2063,1.78,Same Aisle
9,Large Lemon,Banana,0.0132,0.2681,1.77,Same Aisle
10,Organic Whole Milk,Banana,0.0105,0.2378,1.57,Same Aisle
11,Limes,Banana,0.0105,0.2352,1.56,Same Aisle
12,Organic Baby Spinach,Banana,0.0162,0.2171,1.44,Nearby Section
13,Organic Strawberries,Banana,0.017,0.2102,1.39,Nearby Section
